Marca temporal,NOMBRE ,Categoria ,Links Drive,Precio,Detalles,Categoria ,Subcategoria,Colores,Otra tarea
19/3/2026 18:35:56,Buzo Deportivo Hombre ,,"https://drive.google.com/file/d/1jD7iqaiqfqiFxCxJ3Q__lYO0XZ1hisVB/view?usp=drivesdk, https://drive.google.com/file/d/1u1uEIKh86z8rhfNqkZW1VKk0CLgL34kh/view?usp=drivesdk, https://drive.google.com/file/d/1q5QP7ccQ2Dd2EEKwaqA9fC9BxEw0hB17/view?usp=drivesdk, https://drive.google.com/file/d/1nGwxiCaJGHUMmnyEzwX7QOGHctPJfdnj/view?usp=drivesdk",,Buzo sin mangas con cordones elástico deportivo para hombre ,Buzos,Buzo Hombre Sin Manga ,,
19/3/2026 20:03:10,Camisas compresoras,,"https://drive.google.com/file/d/17HJWMeWI5m6Qc3ubTIh8vjgLDoo7v2gn/view?usp=drivesdk,
https://drive.google.com/file/d/17HJWMeWI5m6Qc3ubTIh8vjgLDoo7v2gn/view?usp=drivesdk,
https://drive.google.com/file/d/1toBt7gUVjzNEDTKsFxBO3tAJuljwwI1L/view?usp=drivesdk,
https://drive.google.com/file/d/1chVZzuweQ9HlTePUcdeoTPDlJ7Xf4r9Y/view?usp=drivesdk",35000,Compresora elástica hombre ,hombres,Camisas Compresoras Sencillas ,,
19/3/2026 20:45:14,Chaqueta Deportiva,,"https://drive.google.com/file/d/1hg73t_U-LIeEDZKgM8FSwBcG-cXkVgys/view?usp=drivesdk,
https://drive.google.com/file/d/1R5jx7LV0DSn5wOC_2AS-nVaXkrFR4CmE/view?usp=drivesdk",,,hombres,Chaqueta Deportiva Larga,,
19/3/2026 20:50:10,Camisa OWN IT,,"https://drive.google.com/file/d/1SA6x5SEXeNnTTrJRUkDk_6RiSupqCB0C/view?usp=drivesdk,
https://drive.google.com/file/d/1vpNGYDVAhb-IVnDVr2PZCBDsOm-atWFN/view?usp=drivesdk,
https://drive.google.com/file/d/1X8-Pk5QNmKU2Mfa0ZcGv_VMXTtIR91Kd/view?usp=drivesdk",,,hombres,Camisa OWN IT,,
19/3/2026 20:52:53,Buzo compresor ,,"https://drive.google.com/file/d/1pryDEpPEfyVZvBKDti7etS_ecdurrYbC/view?usp=drivesdk,
https://drive.google.com/file/d/1qIhvEiQUfHFfoxh3H2vL7kZcnSQ_Arvk/view?usp=drivesdk",,,hombres,Buzo compresor ,,
19/3/2026 20:53:38,Camisa Alpha Sin mangas,,"https://drive.google.com/file/d/11HtpaJEKa1wP47KPLX6Tkw7hDBhbC9QW/view?usp=drivesdk,
https://drive.google.com/file/d/1leMaul7fGyi-mpQYpCxJoABSWdXIB_qC/view?usp=drivesdk",,,hombres,Camisa ALPHA,,
19/3/2026 21:05:03,Short con push up corte en V ,,"https://drive.google.com/file/d/1y6o__Ufc8YduRT-_coDQpIAAUWe2KgKw/view?usp=drivesdk, 
https://drive.google.com/file/d/1EVRux1tVZmTU5zMkfHdpHcgzbqQOKC97/view?usp=drivesdk,
https://drive.google.com/file/d/1AUoSLaSEkBS26LTcFKq2nxciogFkgktu/view?usp=drivesdk,
https://drive.google.com/file/d/1ZuLSvQYMO6zyHRC1SHD4nDpioMG3bogz/view?usp=drivesdk,
https://drive.google.com/file/d/1nGQA1TxQn79XiVUb9qdantNBZy3mQNnK/view?usp=drivesdk,
https://drive.google.com/file/d/1tGABIZ1EqIrhoICugqqFehY4zCeRG788/view?usp=drivesdk",,,mujeres,Short con Push Up corte en V ,,
19/3/2026 21:09:10,Camisa sin mangas doble linea,,"https://drive.google.com/file/d/1AX-hZm6gu3q2TRCjJX813pV8OYd_bqTM/view?usp=drivesdk,
https://drive.google.com/file/d/185i965PeeWGiopvTD54NxHVXbCBJc9S7/view?usp=drivesdk,
https://drive.google.com/file/d/1A0auM-Qv1rq7YM5Qfqm_ziuvM-O50wkc/view?usp=drivesdk,
https://drive.google.com/file/d/1t6ghZajqUQJuhut85J7MWGE-g93lfC1O/view?usp=drivesdk",,,hombres,Sin manga doble lineas,,
20/3/2026 9:59:53,,,"https://drive.google.com/file/d/1Uux7l6yCuxJd9OkNFUn5sC0PQkamKBtY/view?usp=drivesdk,
https://drive.google.com/file/d/191x37QHc63Zw10zpLIupp8-BdN-cHrd3/view?usp=drivesdk,
https://drive.google.com/file/d/16OE95CW-5M3LccPKnR7EqYBUHTR5whjx/view?usp=drivesdk",50000,Corte en V,mujeres,Leggin push up corte en V,Rosado,
20/3/2026 10:01:13,,,,,,hombres,Camisa ALPHA,,Quita el color verde de la prenda 
